,name,pt_cut,met_cut,eff
91,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,85,125,0.0034265664766859527
92,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90,125,0.003438571843603519
93,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,95,125,0.003458095125961006
94,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,100,125,0.0034883209431223333
95,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,105,125,0.00353253001314119
96,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,110,125,0.003598444455536749
97,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,115,125,0.0036917891443708365
98,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,120,125,0.0038176942667186606
99,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,125,125,0.003985365216255064
100,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,80,0.001124674962160785
101,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,80,0.0012085542342352837
102,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,80,0.0013185674955637353
103,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,80,0.001450724313440349
104,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,80,0.0016040352114717507
105,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,80,0.0017781243573044491
106,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,80,0.001972578778379586
107,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,80,0.0021843312393579647
108,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,80,0.0024188095959713704
109,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,80,0.00267322842253757
110,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,85,0.0011888801035901315
111,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,85,0.0012597516923170324
112,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,85,0.001356781126684125
113,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,85,0.0014776176530802987
114,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,85,0.0016219015329900634
115,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,85,0.0017897419752713724
116,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,85,0.0019798626500103765
117,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,85,0.0021887319858127975
118,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,85,0.0024214699781484215
119,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,85,0.0026746756552955353
120,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,90,0.0012780300475642749
121,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,90,0.0013344587804976083
122,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,90,0.0014153702386859907
