,name,pt_cut,met_cut,eff,m1,m2,delta,ctau,mchi,dmchi
67,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,115,110,0.004366676989780118,90.0,108.0,0.2,100.0,99.0,18.0
68,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,120,110,0.004661580804866558,90.0,108.0,0.2,100.0,99.0,18.0
69,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,125,110,0.005014291620176301,90.0,108.0,0.2,100.0,99.0,18.0
70,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,80,115,0.003907413693960829,90.0,108.0,0.2,100.0,99.0,18.0
71,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,85,115,0.003931820558402175,90.0,108.0,0.2,100.0,99.0,18.0
72,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90,115,0.003970754408135822,90.0,108.0,0.2,100.0,99.0,18.0
73,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,95,115,0.004029478061135184,90.0,108.0,0.2,100.0,99.0,18.0
74,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,100,115,0.004112210860173894,90.0,108.0,0.2,100.0,99.0,18.0
75,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,105,115,0.004229265165177551,90.0,108.0,0.2,100.0,99.0,18.0
76,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,110,115,0.00438818302769068,90.0,108.0,0.2,100.0,99.0,18.0
77,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,115,115,0.004595079028841454,90.0,108.0,0.2,100.0,99.0,18.0
78,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,120,115,0.0048533037316226295,90.0,108.0,0.2,100.0,99.0,18.0
79,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,125,115,0.00517416951827014,90.0,108.0,0.2,100.0,99.0,18.0
80,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,80,120,0.004363163757890828,90.0,108.0,0.2,100.0,99.0,18.0
81,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,85,120,0.0043797320908561446,90.0,108.0,0.2,100.0,99.0,18.0
82,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90,120,0.004406112308990344,90.0,108.0,0.2,100.0,99.0,18.0
83,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,95,120,0.004447213001001412,90.0,108.0,0.2,100.0,99.0,18.0
84,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,100,120,0.0045079608670631115,90.0,108.0,0.2,100.0,99.0,18.0
85,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,105,120,0.004596015157071262,90.0,108.0,0.2,100.0,99.0,18.0
86,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,110,120,0.004719428313222767,90.0,108.0,0.2,100.0,99.0,18.0
87,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,115,120,0.004888110797178069,90.0,108.0,0.2,100.0,99.0,18.0
88,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,120,120,0.005108695652173913,90.0,108.0,0.2,100.0,99.0,18.0
89,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,125,120,0.005390526436517949,90.0,108.0,0.2,100.0,99.0,18.0
90,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,80,125,0.004862949327033342,90.0,108.0,0.2,100.0,99.0,18.0
91,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,85,125,0.004874107169863499,90.0,108.0,0.2,100.0,99.0,18.0
92,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90,125,0.004891184160888739,90.0,108.0,0.2,100.0,99.0,18.0
93,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,95,125,0.004918954983712503,90.0,108.0,0.2,100.0,99.0,18.0
94,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,100,125,0.004961949588703647,90.0,108.0,0.2,100.0,99.0,18.0
95,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,105,125,0.005024834621466913,90.0,108.0,0.2,100.0,99.0,18.0
96,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,110,125,0.005118594383159461,90.0,108.0,0.2,100.0,99.0,18.0
97,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,115,125,0.005251372200315641,90.0,108.0,0.2,100.0,99.0,18.0
98,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,120,125,0.005430465489102962,90.0,108.0,0.2,100.0,99.0,18.0
99,sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,125,125,0.005668968428670506,90.0,108.0,0.2,100.0,99.0,18.0
100,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,80,0.0013319945636193395,90.0,99.0,0.1,100.0,94.5,9.0
101,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,80,0.0014313359183774504,90.0,99.0,0.1,100.0,94.5,9.0
102,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,80,0.0015616287326977731,90.0,99.0,0.1,100.0,94.5,9.0
103,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,80,0.001718146988086582,90.0,99.0,0.1,100.0,94.5,9.0
104,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,80,0.0018997188106948564,90.0,99.0,0.1,100.0,94.5,9.0
105,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,80,0.002105899088229245,90.0,99.0,0.1,100.0,94.5,9.0
106,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,80,0.0023361987218640154,90.0,99.0,0.1,100.0,94.5,9.0
107,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,80,0.002586985070227565,90.0,99.0,0.1,100.0,94.5,9.0
108,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,80,0.0028646865455901897,90.0,99.0,0.1,100.0,94.5,9.0
109,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,80,0.0031660042642824475,90.0,99.0,0.1,100.0,94.5,9.0
110,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,85,0.001408035110637469,90.0,99.0,0.1,100.0,94.5,9.0
111,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,85,0.001491970980177883,90.0,99.0,0.1,100.0,94.5,9.0
112,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,85,0.0016068865632897528,90.0,99.0,0.1,100.0,94.5,9.0
113,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,85,0.0017499977746722093,90.0,99.0,0.1,100.0,94.5,9.0
114,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,85,0.0019208785625653402,90.0,99.0,0.1,100.0,94.5,9.0
115,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,85,0.0021196582670985047,90.0,99.0,0.1,100.0,94.5,9.0
116,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,85,0.0023448252830845784,90.0,99.0,0.1,100.0,94.5,9.0
117,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,85,0.002592197038619253,90.0,99.0,0.1,100.0,94.5,9.0
118,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,85,0.0028678373355661424,90.0,99.0,0.1,100.0,94.5,9.0
119,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,85,0.0031677182760909777,90.0,99.0,0.1,100.0,94.5,9.0
120,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,90,0.0015136187189827496,90.0,99.0,0.1,100.0,94.5,9.0
121,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,90,0.0015804493749748785,90.0,99.0,0.1,100.0,94.5,9.0
122,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,90,0.001676275836901601,90.0,99.0,0.1,100.0,94.5,9.0
123,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,90,0.0018015640434941179,90.0,99.0,0.1,100.0,94.5,9.0
124,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,90,0.0019574654506352303,90.0,99.0,0.1,100.0,94.5,9.0
125,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,90,0.002144448104574023,90.0,99.0,0.1,100.0,94.5,9.0
126,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,90,0.002360920638961675,90.0,99.0,0.1,100.0,94.5,9.0
127,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,90,0.002602449956449337,90.0,99.0,0.1,100.0,94.5,9.0
128,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,90,0.002874092526482292,90.0,99.0,0.1,100.0,94.5,9.0
129,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,90,0.003171428110532174,90.0,99.0,0.1,100.0,94.5,9.0
130,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,95,0.001649517058993308,90.0,99.0,0.1,100.0,94.5,9.0
131,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,95,0.001700315501065508,90.0,99.0,0.1,100.0,94.5,9.0
132,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,95,0.0017757625572426003,90.0,99.0,0.1,100.0,94.5,9.0
133,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,95,0.001879771138341977,90.0,99.0,0.1,100.0,94.5,9.0
134,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,95,0.0020155626864600527,90.0,99.0,0.1,100.0,94.5,9.0
135,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,95,0.0021857850592808033,90.0,99.0,0.1,100.0,94.5,9.0
136,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,95,0.0023887807497806842,90.0,99.0,0.1,100.0,94.5,9.0
137,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,95,0.0026205087465810757,90.0,99.0,0.1,100.0,94.5,9.0
138,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,120,95,0.002885541178404528,90.0,99.0,0.1,100.0,94.5,9.0
139,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,125,95,0.0031784319304689725,90.0,99.0,0.1,100.0,94.5,9.0
140,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,80,100,0.0018152272265617787,90.0,99.0,0.1,100.0,94.5,9.0
141,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,85,100,0.0018525603212863515,90.0,99.0,0.1,100.0,94.5,9.0
142,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90,100,0.001908945438727318,90.0,99.0,0.1,100.0,94.5,9.0
143,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,95,100,0.0019898624302637224,90.0,99.0,0.1,100.0,94.5,9.0
144,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,100,100,0.0021018105932964428,90.0,99.0,0.1,100.0,94.5,9.0
145,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,105,100,0.0022501590905969447,90.0,99.0,0.1,100.0,94.5,9.0
146,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,110,100,0.002434301110417719,90.0,99.0,0.1,100.0,94.5,9.0
147,sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,115,100,0.00265179717932947,90.0,99.0,0.1,100.0,94.5,9.0
